Title,Price,ImageUrl
"DISHANKART Fresh Potato, 2 kg Pack",100,https://m.media-amazon.com/images/I/71P46K9QwqL._AC_UL320_.jpg
ARL International Fresh Organic Potato - 5 KG - Premium Export Quality,699,https://m.media-amazon.com/images/I/31iO+QcYLGL._AC_UL320_.jpg
Sozal®TM Organically Edible Fresh Red Skin Potato 1.85 Kg Premium Exotic Quality (Low Starch) (Corrugated Box Packaging),448,https://m.media-amazon.com/images/I/513F8ulrlUL._AC_UL320_.jpg
LJL Traders Fresh Potato ( Quality Sorted and Water Washed ) - 500 g,189,https://m.media-amazon.com/images/I/51wSApUdhtL._AC_UL320_.jpg
Live Organic Potato Spinach Chips / Aloo Palak Chips - 1 Kg (Each and Every Packet Packed After Your Order Confirmation),899,https://m.media-amazon.com/images/I/41gzKpVrXeL._AC_UL320_.jpg
Live Organic Potato Ginger Chips / Aloo Adrak Chips - 1 Kg (Each and Every Packet Packed After Your Order Confirmation),899,https://m.media-amazon.com/images/I/51VCtT6GxBL._AC_UL320_.jpg
SADGURU Enterprises / Fresh Onion and Potato each 2.5 kg (5kg),499,https://m.media-amazon.com/images/I/61Cby04TgeL._AC_UL320_.jpg
Fresh Potato 400 Gm.,200,https://m.media-amazon.com/images/I/51T7mkfHVmL._AC_UL320_.jpg
We Care Eco Products Fresh Sambhar Onion/ Small Red Onions/Shallots / Chuvannulli (350g),179,https://m.media-amazon.com/images/I/91UkbkuEq8L._AC_UL320_.jpg
SADGURU Enterprises / Fresh Patato 5kg,549,https://m.media-amazon.com/images/I/41oAG7p7-yL._AC_UL320_.jpg
We Care Eco Products Fresh Sambhar Onion/ Small Red Onions/Shallots / Chuvannulli | (6.5kg),985,https://m.media-amazon.com/images/I/91zKWoajTaL._AC_UL320_.jpg
Live Organic Salted Tapioca Chips - 1 Kg (Each and Every Packet Packed After Your Order Confirmation),899,https://m.media-amazon.com/images/I/41gK85t-SoL._AC_UL320_.jpg
ARL International Farm Fresh Organic Ratalu/Purple Yam - 2.5 KG (Premium Export Quality),799,https://m.media-amazon.com/images/I/51iTzKhmKZL._AC_UL320_.jpg
